id, apt, street, city, state, zipcode, soundscore, rent, tele, url
0, The Line Lofts, 1737 Las Palmas Ave, Hollywood, CA, 90028, 67, Call for Rent, 844-211-8474, https://www.apartments.com/the-line-lofts-hollywood-ca/rspqcx2/
1, Hollywood Proper Residences, 1550 N El Centro Ave, Los Angeles, CA, 90028, 66, $3500 - 6700, 323-380-1421, https://www.apartments.com/hollywood-proper-residences-los-angeles-ca/2v16sgc/
2, La Belle At Hollywood Tower, 6138 Franklin Ave, Los Angeles, CA, 90028, 60, $2233 - 4109, 844-341-3986, https://www.apartments.com/la-belle-at-hollywood-tower-los-angeles-ca/wkp2vbl/
3, Park La Brea, 6200 W 3rd St, Los Angeles, CA, 90036, 72, $1683 - 4060, 844-831-1452, https://www.apartments.com/park-la-brea-los-angeles-ca/r54g963/
4, Villas at Park La Brea Apartments, 5555 W 6th St, Los Angeles, CA, 90036, 69, $2215 - 6026, 323-594-8178, https://www.apartments.com/villas-at-park-la-brea-apartments-los-angeles-ca/7plgz6w/
5, Broadcast Center Apartments, 7660 Beverly Blvd, Los Angeles, CA, 90036, 70, $2389 - 7353, 844-750-9852, https://www.apartments.com/broadcast-center-apartments-los-angeles-ca/7w1h77x/
6, Palazzo East, 348 S Hauser Blvd, Los Angeles, CA, 90036, 70, $2510 - 16759, 844-807-8617, https://www.apartments.com/palazzo-east-los-angeles-ca/32ghtcd/
7, Eastown, 6201 Hollywood Blvd, Los Angeles, CA, 90028, 65, $2279 - 4645, 844-287-7735, https://www.apartments.com/eastown-los-angeles-ca/cmv3yrg/
8, The Culver, 3325 S Canfield Ave, Los Angeles, CA, 90034, 59, $2050 - 2250, 844-396-3196, https://www.apartments.com/the-culver-los-angeles-ca/9sg1c14/
9, The Glendon, 1040 Glendon Ave, Los Angeles, CA, 90024, 68, $3655 - 7560, 424-269-6016, https://www.apartments.com/the-glendon-los-angeles-ca/xvfrs5n/
10, 5550 Wilshire at Miracle Mile by Windsor, 5550 Wilshire Blvd, Los Angeles, CA, 90036, 67, $2975 - 7735, 866-677-1435, https://www.apartments.com/5550-wilshire-at-miracle-mile-by-windsor-los-angeles-ca/2rw0h5c/
11, sunset + vine, 1555 N Vine St, Los Angeles, CA, 90028, 64, $1995 - 5310, 323-870-2146, https://www.apartments.com/sunset-vine-los-angeles-ca/s4s6ps4/
12, The Roy, 3644-3658 Overland Ave, Los Angeles, CA, 90034, 64, $2125 - 4287, 844-307-2073, https://www.apartments.com/the-roy-los-angeles-ca/x5pe7zp/
13, The Micropolitan at Larchmont Village, 5825 Camerford Ave, Los Angeles, CA, 90038, 70, $2395 - 3495, 844-401-1990, https://www.apartments.com/the-micropolitan-at-larchmont-village-los-angeles-ca/vn3lfed/
14, Waterstone at Metro, 3324 Castle Heights Ave, Los Angeles, CA, 90034, 65, $2055 - 4410, 888-554-4667, https://www.apartments.com/waterstone-at-metro-los-angeles-ca/ys7rgws/
15, 1600 VINE, 1600 Vine St, Hollywood, CA, 90028, 67, $2212 - 16043, 877-521-8740, https://www.apartments.com/1600-vine-hollywood-ca/0eksb50/
16, Vision on Wilshire, 6245 Wilshire Blvd, Los Angeles, CA, 90048, 67, $3350 - 15935, 844-232-6118, https://www.apartments.com/vision-on-wilshire-los-angeles-ca/4085lyh/
17, Los Altos Apartments, 4121 Wilshire Blvd, Los Angeles, CA, 90010, 67, $3100 - 23500, 323-746-9097, https://www.apartments.com/los-altos-apartments-los-angeles-ca/rm5v203/
18, W Marino, 940 S Western Ave, Los Angeles, CA, 90006, 65, $2150 - 3900, 626-380-9151, https://www.apartments.com/w-marino-los-angeles-ca/qw65yhz/
