zagats.csv:1	fodors.csv:1
zagats.csv:2	fodors.csv:2
zagats.csv:15	fodors.csv:10
zagats.csv:17	fodors.csv:13
zagats.csv:20	fodors.csv:18
zagats.csv:21	fodors.csv:19
zagats.csv:27	fodors.csv:29
zagats.csv:28	fodors.csv:32
zagats.csv:29	fodors.csv:33
zagats.csv:5	fodors.csv:36
zagats.csv:45	fodors.csv:42
zagats.csv:50	fodors.csv:43
zagats.csv:52	fodors.csv:46
zagats.csv:56	fodors.csv:48
zagats.csv:67	fodors.csv:56
zagats.csv:68	fodors.csv:58
zagats.csv:71	fodors.csv:59
zagats.csv:41	fodors.csv:66
zagats.csv:75	fodors.csv:67
zagats.csv:65	fodors.csv:75
zagats.csv:87	fodors.csv:79
zagats.csv:89	fodors.csv:82
zagats.csv:91	fodors.csv:83
zagats.csv:93	fodors.csv:94
zagats.csv:95	fodors.csv:98
zagats.csv:98	fodors.csv:116
zagats.csv:99	fodors.csv:119
zagats.csv:100	fodors.csv:131
zagats.csv:101	fodors.csv:132
zagats.csv:102	fodors.csv:135
zagats.csv:106	fodors.csv:145
zagats.csv:108	fodors.csv:146
zagats.csv:112	fodors.csv:158
zagats.csv:113	fodors.csv:170
zagats.csv:115	fodors.csv:182
zagats.csv:116	fodors.csv:183
zagats.csv:119	fodors.csv:197
zagats.csv:121	fodors.csv:201
zagats.csv:127	fodors.csv:208
zagats.csv:129	fodors.csv:209
zagats.csv:131	fodors.csv:214
zagats.csv:133	fodors.csv:223
zagats.csv:134	fodors.csv:225
zagats.csv:136	fodors.csv:229
zagats.csv:137	fodors.csv:234
zagats.csv:138	fodors.csv:236
zagats.csv:141	fodors.csv:242
zagats.csv:142	fodors.csv:243
zagats.csv:145	fodors.csv:247
zagats.csv:148	fodors.csv:253
zagats.csv:153	fodors.csv:262
zagats.csv:156	fodors.csv:268
zagats.csv:157	fodors.csv:269
zagats.csv:158	fodors.csv:270
zagats.csv:159	fodors.csv:276
zagats.csv:160	fodors.csv:280
zagats.csv:163	fodors.csv:287
zagats.csv:165	fodors.csv:292
zagats.csv:166	fodors.csv:294
zagats.csv:167	fodors.csv:298
zagats.csv:168	fodors.csv:299
zagats.csv:169	fodors.csv:300
zagats.csv:176	fodors.csv:309
zagats.csv:181	fodors.csv:322
zagats.csv:183	fodors.csv:327
zagats.csv:216	fodors.csv:335
zagats.csv:218	fodors.csv:340
zagats.csv:223	fodors.csv:344
zagats.csv:225	fodors.csv:345
zagats.csv:227	fodors.csv:346
zagats.csv:267	fodors.csv:347
zagats.csv:268	fodors.csv:347
zagats.csv:234	fodors.csv:351
zagats.csv:236	fodors.csv:357
zagats.csv:267	fodors.csv:358
zagats.csv:268	fodors.csv:358
zagats.csv:240	fodors.csv:361
zagats.csv:244	fodors.csv:362
zagats.csv:245	fodors.csv:363
zagats.csv:248	fodors.csv:368
zagats.csv:253	fodors.csv:370
zagats.csv:256	fodors.csv:376
zagats.csv:260	fodors.csv:380
zagats.csv:264	fodors.csv:382
zagats.csv:266	fodors.csv:386
zagats.csv:269	fodors.csv:386
zagats.csv:275	fodors.csv:396
zagats.csv:278	fodors.csv:397
zagats.csv:210	fodors.csv:403
zagats.csv:192	fodors.csv:412
zagats.csv:209	fodors.csv:413
zagats.csv:193	fodors.csv:414
zagats.csv:211	fodors.csv:417
zagats.csv:211	fodors.csv:420
zagats.csv:209	fodors.csv:429
zagats.csv:213	fodors.csv:431
zagats.csv:281	fodors.csv:437
zagats.csv:282	fodors.csv:438
zagats.csv:284	fodors.csv:444
zagats.csv:285	fodors.csv:447
zagats.csv:289	fodors.csv:450
zagats.csv:291	fodors.csv:454
zagats.csv:298	fodors.csv:458
zagats.csv:299	fodors.csv:460
zagats.csv:301	fodors.csv:468
zagats.csv:303	fodors.csv:479
zagats.csv:305	fodors.csv:483
zagats.csv:308	fodors.csv:486
zagats.csv:311	fodors.csv:489
zagats.csv:305	fodors.csv:496
zagats.csv:316	fodors.csv:503
zagats.csv:317	fodors.csv:504
zagats.csv:318	fodors.csv:506
zagats.csv:320	fodors.csv:507
zagats.csv:159	fodors.csv:276
