apt,street,city,state,zipcode,min price,amenities,recent viewed,contact number,url
3425 Plata Street, 3425 Plata Street, Los Angeles, CA,90026, Call, Architecture Style: Craftsman; Carport; Covered Parking Spaces: 3; Dryer; Flooring: Hardwood; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18322460; Patio Balcony; Refrigerator; Washer; Year Built: 1925,36, 310-888-8700, https://hotpads.com/3425-plata-st-los-angeles-ca-90026-1m2mfjg/pad
Alta Warner, 6701 Eton Avenue, Woodland Hills, CA,91303,1909, 2 BBQ's; 3 TV's & Seating areas; 9' Ceilings in all Homes on 1-4 Floor; Air Conditioning; Availability 24 Hours; Bar area with Bistro Tables; Business Center; Cable TV Ready; Carpeting; Cats Allowed; Club House; Curved Shower Curtain Rods; Disabled Access; Dishwasher; Dogs Allowed; Dryer; Easy Access to the 101 405 and 118 Freeways; Efficient Appliances; Electronic Thermostat; Elevator; European Style Cabinets; Fitness Center; Flooring: Tile; Free Weights; Garbage Disposal; Green Building; Group Excercise; Handrails; High-speed Internet Ready; Large Closets; Large Dogs Allowed; Laundry: In Unit; Media Room; Microwave Oven; Off Street Parking; On-Site Maintenance; On-Site Management; Oversize Windows; Oversized Walk-In Closets; Package Service; Patio Balcony; Premium Stainless Steel/Black Kitchen Appliances; Quartz Countertops; Range; Recreation Room; Recycling; Refrigerator; Security Alarm; Security: Gated Entry; Security: Night Patrol; Short Term Lease; Small Dogs Allowed; Spa; Swimming Pool; Transportation; Vast Recreational Opportunities; View; Washer; Wi-Fi Throughout,16, 1-805-356-3978, https://hotpads.com/alta-warner-canoga-park-ca-91303-skk1vc/pad
1836 W 46th Street, 1836 W 46th Street, Los Angeles, CA,90062, Call, Dryer; Flooring: Hardwood; Laundry: In Unit; Off Street Parking; Patio Balcony; Small Dogs Allowed; Utilities included in rent; Washer,107, 323-202-6406, https://hotpads.com/1836-w-46th-st-los-angeles-ca-90062-1n1zpqx/pad
Glendon Avenue, Glendon Avenue, Los Angeles, CA,90025,2300, ,89, hotpads, https://hotpads.com/1837-glendon-ave-los-angeles-ca-90025-sp9dmc/pad
7219 N Cedar Road, 7219 N Cedar Road, Van Nuys, CA,91405, Call, Attached Garage; Condo Floor Number: 3; Covered Parking Spaces: 2; Heating system: Central Furnace; MLS Listing ID: SR18055616; School District: Los Angeles Unified; View Type: None; Year Built: 2016,20, 818-239-9624, https://hotpads.com/7219-n-cedar-rd-van-nuys-ca-91405-1q6pxaa/pad
1216 W Court Street, 1216 W Court Street, Los Angeles, CA,90026,1300, ,88, hotpads, https://hotpads.com/1216-w-court-st-los-angeles-ca-90026-skmh4x/pad
8950 Memory Park Avenue, 8950 Memory Park Avenue, North Hills, CA,91343,1495, Cats Allowed; Ceiling Fan; Flooring: Hardwood; Laundry: Shared; Parking -; built-in closet organizers; ceramic tiles; crown moldings; decorative niches; granite counters; raised dining counter; recessed lighting w/dimmers; stainless steel appliances; walk-in closet; window casings; wooden horizontal blinds,9, 818-830-8813, https://hotpads.com/8950-memory-park-avenue-north-hills-ca-91343-sm8u6w/pad
3748 W 9th Street, 3748 W 9th Street, Los Angeles, CA,90019,1350, ,67, hotpads, https://hotpads.com/3748-w-9th-st-los-angeles-ca-90019-stc0ya/pad
12602 Oxnard Street, 12602 Oxnard Street, Valley Village, CA,91607, Call, Air Conditioning; Flooring: Hardwood; Garage; Laundry: Shared,20, 818-703-3513, https://hotpads.com/12602-oxnard-st-valley-village-ca-91607-1psy4ch/pad
2959 Berkeley Avenue, 2959 Berkeley Avenue, Los Angeles, CA,90026,3195, Air Conditioning; Cats Allowed; Detached Garage; Dryer; Flooring: Hardwood; Garage; Large Dogs Allowed; Laundry: In Unit; One Year Lease; Oven; Patio Balcony; Refrigerator; Small Dogs Allowed; Washer; Water included in rent,70, 310-694-7577, https://hotpads.com/2959-berkeley-ave-los-angeles-ca-90026-1m2meut/pad
