,apt,street,city,state,zipcode,hotrent,amenities,popularity,hottele,hoturl,soundscore,aptrent,apttele,apturl,Population,Density,TotalWages,Wealthy,HouseOfUnits
0,3425 Plata Street, 3425 Plata Street, Los Angeles, CA,90026, Call, Architecture Style: Craftsman; Carport; Covered Parking Spaces: 3; Dryer; Flooring: Hardwood; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18322460; Patio Balcony; Refrigerator; Washer; Year Built: 1925,Medium, 310-888-8700, https://hotpads.com/3425-plata-st-los-angeles-ca-90026-1m2mfjg/pad,60, $1850, 844-801-3073, https://www.apartments.com/3425-plata-st-los-angeles-ca/573zm1p/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
1,Alta Warner, 6701 Eton Avenue, Woodland Hills, CA,91303,1909, 2 BBQ's; 3 TV's & Seating areas; 9' Ceilings in all Homes on 1-4 Floor; Air Conditioning; Availability 24 Hours; Bar area with Bistro Tables; Business Center; Cable TV Ready; Carpeting; Cats Allowed; Club House; Curved Shower Curtain Rods; Disabled Access; Dishwasher; Dogs Allowed; Dryer; Easy Access to the 101 405 and 118 Freeways; Efficient Appliances; Electronic Thermostat; Elevator; European Style Cabinets; Fitness Center; Flooring: Tile; Free Weights; Garbage Disposal; Green Building; Group Excercise; Handrails; High-speed Internet Ready; Large Closets; Large Dogs Allowed; Laundry: In Unit; Media Room; Microwave Oven; Off Street Parking; On-Site Maintenance; On-Site Management; Oversize Windows; Oversized Walk-In Closets; Package Service; Patio Balcony; Premium Stainless Steel/Black Kitchen Appliances; Quartz Countertops; Range; Recreation Room; Recycling; Refrigerator; Security Alarm; Security: Gated Entry; Security: Night Patrol; Short Term Lease; Small Dogs Allowed; Spa; Swimming Pool; Transportation; Vast Recreational Opportunities; View; Washer; Wi-Fi Throughout,Low, 1-805-356-3978, https://hotpads.com/alta-warner-canoga-park-ca-91303-skk1vc/pad,71, $2299, 818-962-7907, https://www.apartments.com/6701-eton-ave-woodland-hills-ca/729csfz/,26855.0,12432.8703704,325414750.0,12117.4734686,9502.0
2,1836 W 46th Street, 1836 W 46th Street, Los Angeles, CA,90062, Call, Dryer; Flooring: Hardwood; Laundry: In Unit; Off Street Parking; Patio Balcony; Small Dogs Allowed; Utilities included in rent; Washer,High, 323-202-6406, https://hotpads.com/1836-w-46th-st-los-angeles-ca-90062-1n1zpqx/pad,,,,,32821.0,17005.6994819,300291630.0,9149.37479053,9795.0
3,Glendon Avenue, Glendon Avenue, Los Angeles, CA,90025,2300, ,High, hotpads, https://hotpads.com/1837-glendon-ave-los-angeles-ca-90025-sp9dmc/pad,,,,,42147.0,16399.6108949,,,23058.0
4,7219 N Cedar Road, 7219 N Cedar Road, Van Nuys, CA,91405, Call, Attached Garage; Condo Floor Number: 3; Covered Parking Spaces: 2; Heating system: Central Furnace; MLS Listing ID: SR18055616; School District: Los Angeles Unified; View Type: None; Year Built: 2016,Low, 818-239-9624, https://hotpads.com/7219-n-cedar-rd-van-nuys-ca-91405-1q6pxaa/pad,,,,,51145.0,15451.6616314,545861221.0,10672.8169127,17442.0
5,1216 W Court Street, 1216 W Court Street, Los Angeles, CA,90026,1300, ,High, hotpads, https://hotpads.com/1216-w-court-st-los-angeles-ca-90026-skmh4x/pad,,,,,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
6,8950 Memory Park Avenue, 8950 Memory Park Avenue, North Hills, CA,91343,1495, Cats Allowed; Ceiling Fan; Flooring: Hardwood; Laundry: Shared; Parking -; built-in closet organizers; ceramic tiles; crown moldings; decorative niches; granite counters; raised dining counter; recessed lighting w/dimmers; stainless steel appliances; walk-in closet; window casings; wooden horizontal blinds,Low, 818-830-8813, https://hotpads.com/8950-memory-park-avenue-north-hills-ca-91343-sm8u6w/pad,,,,,60254.0,10195.2622673,809800563.0,13439.7809772,17619.0
7,3748 W 9th Street, 3748 W 9th Street, Los Angeles, CA,90019,1350, ,High, hotpads, https://hotpads.com/3748-w-9th-st-los-angeles-ca-90019-stc0ya/pad,69, $1695, 747-226-5924, https://www.apartments.com/3748-w-9th-st-los-angeles-ca/8kec6b0/,64458.0,16570.1799486,871676252.0,13523.1662788,25116.0
8,12602 Oxnard Street, 12602 Oxnard Street, Valley Village, CA,91607, Call, Air Conditioning; Flooring: Hardwood; Garage; Laundry: Shared,Low, 818-703-3513, https://hotpads.com/12602-oxnard-st-valley-village-ca-91607-1psy4ch/pad,,,,,27927.0,11445.4918033,611687844.0,21903.0989365,13841.0
9,2959 Berkeley Avenue, 2959 Berkeley Avenue, Los Angeles, CA,90026,3195, Air Conditioning; Cats Allowed; Detached Garage; Dryer; Flooring: Hardwood; Garage; Large Dogs Allowed; Laundry: In Unit; One Year Lease; Oven; Patio Balcony; Refrigerator; Small Dogs Allowed; Washer; Water included in rent,High, 310-694-7577, https://hotpads.com/2959-berkeley-ave-los-angeles-ca-90026-1m2meut/pad,,,,,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
10,1309 Amherst Avenue, 1309 Amherst Avenue, Los Angeles, CA,90025,2595, ,Low, hotpads, https://hotpads.com/1309-amherst-ave-los-angeles-ca-90025-ttujs8/pad,,,,,42147.0,16399.6108949,,,23058.0
11,8308 Yuma Place, 8308 Yuma Place, Los Angeles, CA,90046, Call, Cable TV Ready; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Slate; Furnished; Garbage Disposal; Heating: Gas; Laundry: In Unit; MLS Listing ID: 18309530; Microwave Oven; Refrigerator; View Type: Territorial View; Washer; Year Built: 1961,Medium, 310-388-7932, https://hotpads.com/8308-yuma-pl-los-angeles-ca-90046-w3xk9r/pad,,,,,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
12,5643 Raber Street, 5643 Raber Street, Los Angeles, CA,90042, Call, Air Conditioning; Assigned Outdoor Parking; Dryer; Fenced Yard; Flooring: Hardwood; Gas Stove; Laundry: In Unit; Washer; Year Built: 1913,High, 650-281-0960, https://hotpads.com/5643-raber-st-los-angeles-ca-90042-1m2pz0c/pad,,,,,62430.0,13454.7413793,851843674.0,13644.7809387,21018.0
13,112 N Mansfield Avenue, 112 N Mansfield Avenue, Los Angeles, CA,90036, Call, Architecture Style: Traditional; MLS Listing ID: 18-320164; Year Built: 1956,Low, 323-821-4820, https://hotpads.com/112-n-mansfield-ave-los-angeles-ca-90036-1n1wzge/pad,,,,,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
14,9524 Dalegrove Drive, 9524 Dalegrove Drive, Beverly Hills, CA,90210, Call, Covered Parking Spaces: 2; Elementary School: West Hollywood; Fireplace; Flooring: Hardwood; Heating system: Central Furnace; High School: University; MLS Listing ID: SR18042492; Middle School: Emerson; Refrigerator; School District: Los Angeles Unified; Swimming Pool; View Type: Canyon; View Type: City View; View Type: Mountain View; View Type: Neighborhood; View Type: Panoramic; View Type: Territorial View; View Type: Trees/Woods; Washer; Year Built: 1953; Vaulted Ceiling,Low, 818-657-3030, https://hotpads.com/9524-dalegrove-dr-beverly-hills-ca-90210-skue5k/pad,,,,,21741.0,2146.1994077,1586883528.0,72990.3651166,9563.0
15,9042 Terhune Avenue, 9042 Terhune Avenue, Sun Valley, CA,91352, Call, Air Conditioning; Cats Allowed; Flooring: Hardwood; Laundry: none; Off Street Parking,Low, hotpads, https://hotpads.com/9042-terhune-ave-sun-valley-ca-91352-1tystd0/pad,,,,,47807.0,4096.57240788,590655784.0,12355.0062543,12620.0
16,Rees Street, Rees Street, Playa Del Rey, CA,90293, Call, Cable included in rent; Flooring: Hardwood; Internet included in rent; Laundry: none; Off Street Parking; Utilities included in rent; Water included in rent,High, hotpads, https://hotpads.com/319-rees-st-playa-del-rey-ca-90293-u0k1e2/pad,,,,,12132.0,4241.95804196,478869171.0,39471.5769041,6968.0
17,5440 Thornburn Street, 5440 Thornburn Street, Los Angeles, CA,90045,1950, Cats Allowed; Dogs Allowed; Small Dogs Allowed,High, 818-957-5695, https://hotpads.com/1-bed-681-sqft-1950-los-angeles-ca-90045-1m2qe3r/pad,,,,,39480.0,3679.40354147,1086342467.0,27516.273227,16127.0
18,1120 S Plymouth Boulevard, 1120 S Plymouth Boulevard, Los Angeles, CA,90019, Call, Architecture Style: Bungalow; Covered Parking Spaces: 2; Dryer; Flooring: Hardwood; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17271956; Patio Balcony; Refrigerator; Washer; Year Built: 1932,Low, 213-380-8245, https://hotpads.com/1120-s-plymouth-blvd-los-angeles-ca-90019-ty6ac8/pad,,,,,64458.0,16570.1799486,871676252.0,13523.1662788,25116.0
19,4401 Kraft Avenue, 4401 Kraft Avenue, Studio City, CA,91602, Call, Air Conditioning; Attached Garage; Barbecue; Cats Allowed; Condo Floor Number: 2; Dryer; Flooring: Hardwood; Flooring: Tile; Garage; Garbage Disposal; Gas not included in rent; Laundry: In Unit; Master bath; Microwave Oven; Parking Spaces: 2; Patio Balcony; Small Dogs Allowed; Storage Space; Washer; Year Built: 1977; Granite countertop; Range/Oven; Skylight; Stainless steel appliances; Wired,High, 323-317-2588, https://hotpads.com/4401-kraft-ave-north-hollywood-ca-91602-1m3w5kn/pad,,,,,17473.0,8523.41463415,555014995.0,31764.1501173,9946.0
20,1638 1/2 W 35th Street, 1638 1/2 W 35th Street, Los Angeles, CA,90018, Call, Cats Allowed; Dryer; Electricity not included in rent; Flooring: Hardwood; Garage; Garbage not included in rent; Gas not included in rent; Laundry: In Unit; Patio Balcony; Small Dogs Allowed; Washer; Water not included in rent,Medium, 310-428-5045, https://hotpads.com/1638-12-w-35th-st-los-angeles-ca-90018-1tz9y8d/pad,,,,,49310.0,17003.4482759,480700270.0,9748.53518556,16658.0
21,4824 Craner Avenue, 4824 Craner Avenue, N Hollywood, CA,91601,1925, Air Conditioning; BBQ/Picnic Area; Cable TV Ready; Carpeting; Cats Allowed; Courtyard; Detached Garage; Dishwasher; Efficient Appliances; Electronic Thermostat; Extra Storage; Fireplace; Fitness Center; Flooring: Hardwood; Free Weights; Garbage Disposal; High Ceilings; Large Closets; Large Dogs Allowed; Laundry: Shared; Off Street Parking; On-Site Management; Patio Balcony; Range; Recycling; Refrigerator; Security: Gated Entry; Short Term Lease; Small Dogs Allowed; Sundeck; Swimming Pool; Window Coverings,High, 818-509-0400, https://hotpads.com/craner-villa-north-hollywood-ca-91601-st4wcr/pad,,,,,37180.0,14030.1886792,579711563.0,15592.0269769,17392.0
22,10595 Wilshire Boulevard, 10595 Wilshire Boulevard, Los Angeles, CA,90024,1999, ,High, hotpads, https://hotpads.com/10595-wilshire-blvd-los-angeles-ca-90024-1tzbn8f/pad,,,,,47452.0,16140.1360544,1258492976.0,26521.3895305,19932.0
23,6135 1/2 Saturn Street, 6135 1/2 Saturn Street, Los Angeles, CA,90035,2550, ,Medium, 323-302-9295, https://hotpads.com/2-bed-2550-los-angeles-ca-90035-1tzegwf/pad,,,,,28418.0,13795.1456311,708020742.0,24914.5169259,14030.0
24,1126 E 40th Place, 1126 E 40th Place, Los Angeles, CA,90011, Call, ,Medium, 323-754-2818, https://hotpads.com/1126-e-40th-pl-los-angeles-ca-90011-1pk6zcp/pad,,,,,103892.0,24217.2494172,678782526.0,6533.53988758,23547.0
25,641 E 76th Street, 641 E 76th Street, Los Angeles, CA,90001, Call, Attached Garage; Dryer; Laundry: In Unit; Parking Spaces: 1; Refrigerator; Washer; Year Built: 2017; Granite countertop; Range/Oven,Low, 323-552-3650, https://hotpads.com/641-e-76th-st-los-angeles-ca-90001-sq5dux/pad,,,,,57110.0,16317.1428571,421709138.0,7384.15580459,13788.0
26,12431 Landale Street, 12431 Landale Street, Studio City, CA,91604, Call, Covered Parking Spaces: 4; Dryer; Fireplace; Flooring: Hardwood; Freezer; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18318132; Patio Balcony; Refrigerator; Swimming Pool; Washer; Year Built: 2015,Low, 424-253-7523, https://hotpads.com/12431-landale-st-studio-city-ca-91604-ss7b9g/pad,,,,,29034.0,5637.66990291,1065561227.0,36700.4624578,15373.0
27,10914 Blix Street, 10914 Blix Street, North Hollywood, CA,91602, Call, 500sqft private and gated outdoor front yard; Air Conditioning; Cats Allowed; Electricity not included in rent; Flooring: Hardwood; Garage; Gas not included in rent; Large Dogs Allowed; Laundry: none; Off Street Parking; Patio Balcony; Small Dogs Allowed; Water not included in rent,Medium, 323-308-5993, https://hotpads.com/10914-blix-st-north-hollywood-ca-91602-1pn2gqf/pad,,,,,17473.0,8523.41463415,555014995.0,31764.1501173,9946.0
28,9521 S Western Avenue, 9521 S Western Avenue, Los Angeles, CA,90047, Call, ,High, 866-772-6847, https://hotpads.com/9521-s-western-ave-los-angeles-ca-90047-1n1yw72/pad,,,,,48606.0,10276.1099366,600392169.0,12352.2233675,17150.0
29,2960 Marengo Street, 2960 Marengo Street, Los Angeles, CA,90033, Call, Covered Parking Spaces: 1; Heating system: Wall Heater; MLS Listing ID: MB17276470; School District: Los Angeles Unified; View Type: City View; View Type: Mountain View; View Type: Neighborhood; Year Built: 1992; Attic,Medium, 323-219-0452, https://hotpads.com/2960-marengo-st-los-angeles-ca-90033-1m2nnct/pad,,,,,48852.0,14939.4495413,357180523.0,7311.48208876,13690.0
30,1415 S Saltair Avenue, 1415 S Saltair Avenue, West Los Angeles, CA,90025,2090, ,High, hotpads, https://hotpads.com/1415-s-saltair-ave-los-angeles-ca-90025-t17ycp/pad,,,,,42147.0,16399.6108949,,,23058.0
31,9643 Burnet Avenue, 9643 Burnet Avenue, North Hills, CA,91343, Call, Air Conditioning; Applicants need Good Credit Score and Employment.; Disabled Access; Dryer; Gas not included in rent; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer; Water not included in rent,Low, 818-321-7778, https://hotpads.com/9643-burnet-ave-north-hills-ca-91343-1tyhjns/pad,,,,,60254.0,10195.2622673,809800563.0,13439.7809772,17619.0
32,1849 W Florence Avenue, 1849 W Florence Avenue, Los Angeles, CA,90047, Call, Disabled Access; Dryer; Laundry: In Unit; Small Dogs Allowed; Washer; Water included in rent; new stove and hood,Low, 323-716-2884, https://hotpads.com/1849-w-florence-ave-los-angeles-ca-90047-1n1yqeg/pad,,,,,48606.0,10276.1099366,600392169.0,12352.2233675,17150.0
33,1239 S Orange Drive, 1239 S Orange Drive, Los Angeles, CA,90019, Call, Dryer; Flooring: Hardwood; Laundry: In Unit; Small Dogs Allowed; Washer,Medium, 818-269-9820, https://hotpads.com/1239-s-orange-dr-los-angeles-ca-90019-sksd8t/pad,,,,,64458.0,16570.1799486,871676252.0,13523.1662788,25116.0
34,Accent, 5550 Grosvenor Boulevard, Los Angeles, CA,90066,2802, Ceiling Fan; Flooring: Carpet; Flooring: Hardwood; Garage; Off Street Parking; Patio; Patio Balcony; Stories: 4; Washer/Dryer Hookups,Medium, 1-818-946-0165, https://hotpads.com/accent-los-angeles-ca-90066-svr9yr/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
35,9505 Hidden Valley Road, 9505 Hidden Valley Road, Beverly Hills, CA,90210, Call, Architecture Style: Contemporary; Cable TV Ready; Covered Parking Spaces: 2; Fireplace; Flooring: Hardwood; Furnished; Heating system: Central; Heating system: Forced Air; MLS Listing ID: 17284690; Patio Balcony; School District: Los Angeles Unified; Spa; Swimming Pool; Washer; Year Built: 1960; Porch,Low, 310-279-9379, https://hotpads.com/9505-hidden-valley-rd-beverly-hills-ca-90210-skr643/pad,,,,,21741.0,2146.1994077,1586883528.0,72990.3651166,9563.0
36,2151 Alsace Avenue, 2151 Alsace Avenue, Los Angeles, CA,90016, Call, Dryer; Fireplace; Flooring: Hardwood; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18319416; Refrigerator; Washer; Year Built: 1923,High, 424-218-9886, https://hotpads.com/2151-alsace-ave-los-angeles-ca-90016-tzr08n/pad,,,,,47596.0,13111.84573,570516671.0,11986.6516304,17204.0
37,3411 S Leland Street, 3411 S Leland Street, San Pedro, CA,90731, Call, Cats Allowed; Dryer; Flooring: Hardwood; Garage; Large Dogs Allowed; Laundry: In Unit; Small Dogs Allowed; Washer,Medium, 310-847-9835, https://hotpads.com/3411-s-leland-st-san-pedro-ca-90731-1n24buw/pad,,,,,59662.0,6492.05658324,940784609.0,15768.5731119,23914.0
38,1626 Glendon Avenue, 1626 Glendon Avenue, Los A, CA,90024, Call, Air Conditioning; Flooring: Hardwood; Laundry: Shared; Utilities fee required,High, 310-874-3065, https://hotpads.com/1626-glendon-ave-los-angeles-ca-90024-skv5fq/pad,,,,,47452.0,16140.1360544,1258492976.0,26521.3895305,19932.0
39,1945 S Garth Avenue, 1945 S Garth Avenue, Los Angeles, CA,90034,2450, ,High, hotpads, https://hotpads.com/1945-s-garth-ave-los-angeles-ca-90034-1n1wsza/pad,,,,,57964.0,18637.9421222,1244231596.0,21465.5923677,27210.0
40,6192 Coral Pink Circle #CP92, 6192 Coral Pink Circle #CP92, Woodland Hills, CA,91367, Call, Air Conditioning; Basketball Court; Business Center; Cable not included in rent; Cats Allowed; Club House; Dryer; Electricity not included in rent; Fitness Center; Flooring: Hardwood; Flooring: Wood; Garage; Gas Grills Allowed; Gas not included in rent; Internet not included in rent; Large Dogs Allowed; Laundry: In Unit; Near Shopping Dining and Theatres; Near Transportation; On-Site Dry Cleaners; On-site Alternations; Patio Balcony; Pets Welcome; Putting Green and Par Course; Security: Gated Entry; Small Dogs Allowed; Spacious Bedrooms; Swimming Pool; Tennis Court; Vaulted Ceilings; Volleyball Court; Washer,Low, 818-787-1777, https://hotpads.com/cp92/pad,,,,,39499.0,5309.00537634,1030182882.0,26081.2395757,18210.0
41,686 S Ardmore Avenue, 686 S Ardmore Avenue, Los Angeles, CA,90005, Call, Architecture Style: Contemporary; Covered Parking Spaces: 2; Flooring: Laminate; Heating system: Central; MLS Listing ID: 18323334; Year Built: 1990,Medium, 213-705-8134, https://hotpads.com/686-s-ardmore-ave-los-angeles-ca-90005-1n1tmuy/pad,,,,,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
42,24036 Highlander Road, 24036 Highlander Road, West Hills, CA,91307, Call, Air Conditioning; Cats Allowed; Dryer; Garage; Laundry: In Unit; Small Dogs Allowed; Washer,Medium, 818-350-3445, https://hotpads.com/24036-highlander-rd-west-hills-ca-91307-1m3hemj/pad,,,,,24474.0,3040.2484472,653047436.0,26683.3143744,8556.0
43,1851 Winona Boulevard, 1851 Winona Boulevard, Los Angeles, CA,90027,1649, ,Low, hotpads, https://hotpads.com/1851-winona-blvd-los-angeles-ca-90027-sntpp8/pad,,,,,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
44,1168 W 28th Street, 1168 W 28th Street, Los Angeles, CA,90007, Call, Air Conditioning; Dryer; Laundry: In Unit; Microwave Oven; Washer; gated parking on premises; monthly maid services; private front yard; stainless steel refridgerator; stainless steel stove; weekly gardening services,Low, 213-748-8331, https://hotpads.com/1168-w-28th-st-los-angeles-ca-90007-ty9vr2/pad,,,,,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
45,11908 Dorothy Street, 11908 Dorothy Street, Los Angeles, CA,90049,2695, ,Medium, hotpads, https://hotpads.com/11908-dorothy-st-los-angeles-ca-90049-tn354k/pad,,,,,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
46,5445 Monroe Street, 5445 Monroe Street, Los Angeles, CA,90038, Call, Covered Parking Spaces: 2; Fireplace; Flooring: Laminate; Heating system: Wall Heater; MLS Listing ID: SR18021245; No Air Conditioning; School District: Los Angeles Unified; View Type: None; Year Built: 1923; Range/Oven,Medium,818624715, https://hotpads.com/5445-monroe-st-los-angeles-ca-90038-1m2p2dj/pad,,,,,28917.0,18418.4713376,330114199.0,11415.9213957,12812.0
47,Balboa Boulevard, Balboa Boulevard, Van Nuys, CA,91406, Call, Air Conditioning; Cats Allowed; Dogs Allowed; Dryer; Flooring: Hardwood; Garage; Laundry: In Unit; Small Dogs Allowed; Washer,High, 818-522-7002, https://hotpads.com/6730-balboa-blvd-van-nuys-ca-91406-1m3uv8n/pad,,,,,51558.0,6341.69741697,769046964.0,14916.1519842,18034.0
48,3133 Gilmerton Avenue, 3133 Gilmerton Avenue, Los Angeles, CA,90064, Call, Attached Garage; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18323476; No Air Conditioning; Patio Balcony; Washer; Year Built: 1952; Porch,Low, 310-734-2653, https://hotpads.com/3133-gilmerton-ave-los-angeles-ca-90064-1m2rxt2/pad,,,,,25403.0,6350.75,1105519048.0,43519.2319017,11540.0
49,950 S Muirfield Road, 950 S Muirfield Road, Los Angeles, CA,90019, Call, Ceiling Fan; Covered Parking Spaces: 1; Dryer; Fireplace; Flooring: Hardwood; Flooring: Tile; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18312370; Patio Balcony; Refrigerator; Washer; Year Built: 1923,Low, 323-310-2525, https://hotpads.com/950-s-muirfield-rd-los-angeles-ca-90019-ta5mse/pad,,,,,64458.0,16570.1799486,871676252.0,13523.1662788,25116.0
